master_id,scheme_code,canonical_name,record_kind,official_page_url,application_status,closing_date,funding_maximum,funding_evidence,last_verified_at,guideline_urls,status_evidence
idex_aditi2_reopen2,ADITI-2-REOPEN-2,ADITI 2 Re Open 2,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2025-10-30,250000000,ADITI scheme guideline states a maximum grant of Rs 25 crore per winner.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 30 October 2025 at 5:00 PM.
idex_aditi2_reopen,ADITI-2-REOPEN,ADITI 2 Re Open,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2025-04-15,250000000,ADITI scheme guideline states a maximum grant of Rs 25 crore per winner.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 15 April 2025 at 5:00 PM.
idex_disc12_reopen,DISC-12-REOPEN,DISC 12 Re Open,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2025-04-15,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 15 April 2025 at 5:00 PM.
idex_prime_x_reopen,IDEX-PRIME-X-REOPEN,iDEX PRIME X Re Open,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2025-04-15,100000000,Official iDEX challenge index describes iDEX PRIME X with grants up to Rs 10 crore.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 15 April 2025 at 5:00 PM.
idex_aditi3,ADITI-3,ADITI 3,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2024-12-03,250000000,ADITI scheme guideline states a maximum grant of Rs 25 crore per winner.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 03 December 2024 at 5:00 PM.
idex_disc13,DISC-13,DISC 13,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2024-12-03,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 03 December 2024 at 5:00 PM.
idex_aditi2,ADITI-2,ADITI 2,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2024-11-11,250000000,ADITI scheme guideline states a maximum grant of Rs 25 crore per winner.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 11 November 2024 at 5:00 PM.
idex_disc12,DISC-12,DISC 12,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2024-11-11,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 11 November 2024 at 5:00 PM.
idex_aditi1,ADITI-1,ADITI 1,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2024-04-19,250000000,ADITI scheme guideline states a maximum grant of Rs 25 crore per winner.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 19 April 2024 at 5:00 PM.
idex_disc11,DISC-11,DISC 11,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2024-04-19,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 19 April 2024 at 5:00 PM.
idex_disc8_reopen,DISC-8-REOPEN,DISC 8 RE OPEN,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2024-01-15,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 15 January 2024 at 5:00 PM.
idex_disc_x,DISC-X,DISC X,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2023-12-20,,,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 20 December 2023 at 1:00 PM.
idex_prime_x,IDEX-PRIME-X,iDEX PRIME X,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2023-12-20,100000000,Official iDEX challenge index describes iDEX PRIME X with grants up to Rs 10 crore.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 20 December 2023 at 1:00 PM.
idex_4_fauji,IDEX-4-FAUJI,iDEX 4 Fauji,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2023-12-20,,,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 20 December 2023 at 1:00 PM.
idex_indus_x,INDUS-X,INDUS X,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2023-11-30,,,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 30 November 2023 at 11:59 PM.
idex_disc9,DISC-9,DISC 9,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2023-03-31,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 31 March 2023 at 5:00 PM.
idex_prime_space,IDEX-PRIME-SPACE,iDEX PRIME SPACE,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2023-01-02,100000000,Official iDEX challenge index describes iDEX PRIME with grants up to Rs 10 crore.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 02 January 2023 at 11:59 PM.
idex_disc8,DISC-8,DISC 8,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2023-01-02,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 02 January 2023 at 11:59 PM.
idex_prime_sprint,IDEX-PRIME-SPRINT,iDEX PRIME SPRINT,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2022-08-22,100000000,Official iDEX challenge index describes iDEX PRIME with grants up to Rs 10 crore.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 22 August 2022 at 11:59 PM.
idex_disc7,DISC-7,DISC 7,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2022-08-23,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 23 August 2022 at 11:59 PM.
idex_prime_2022,IDEX-PRIME,iDEX Prime,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2022-06-27,100000000,Official iDEX challenge index describes iDEX PRIME with grants up to Rs 10 crore.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 27 June 2022 at 11:59 PM.
idex_disc6,DISC-6,DISC 6,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2022-06-27,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 27 June 2022 at 11:59 PM.
idex_disc5,DISC-5,DISC 5,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2021-10-25,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 25 October 2021 at 11:59 PM.
idex_disc4,DISC-4,DISC 4,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2020-12-15,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 15 December 2020 at 11:59 PM.
idex_disc3,DISC-3,DISC 3,CHALLENGE,https://idex.gov.in/challenges,CLOSED,2020-01-14,15000000,Official iDEX scheme states a maximum grant of Rs 1.5 crore per applicant.,2026-07-22,https://idex.gov.in/res,Official iDEX challenge index lists a last date of 14 January 2020 at 11:59 PM.
