candidate_id,source_id,discovered_url,normalized_url,page_title,candidate_name,official_domain,platform_host,suspected_owner,ownership_status,page_role,parent_candidate_id,discovery_method,http_status,content_type,is_official_domain,duplicate_group_id,discovery_timestamp,classification_confidence,classification_reasons,review_required,rejection_reason
dpiit_candidate_f9480e55be37bfc6e536,DPIIT-SRC-012,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,Scheme for Facilitating Startups Intellectual Property Protection (SIPP),Scheme for Facilitating Startups Intellectual Property Protection (SIPP),www.dpiit.gov.in,DPIIT,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,SCHEME_MASTER,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.93,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PERMANENT_SCHEME_OR_SERVICE_IDENTITY,0,
dpiit_candidate_0c6d98d2a491c112dbbc,DPIIT-SRC-018,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,Startup India Initiative and Related Schemes,Startup India Initiative and Related Schemes,www.dpiit.gov.in,DPIIT,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,UMBRELLA_PROGRAMME,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.93,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PERMANENT_PROGRAMME_IDENTITY,0,
dpiit_candidate_ebdf2f46bbcfec5b9087,DPIIT-SRC-011,https://www.ncgtc.in/content/products/0/20250519/FAQ_CGSS_2025_2026_37fd554fb8.pdf,https://www.ncgtc.in/content/products/0/20250519/FAQ_CGSS_2025_2026_37fd554fb8.pdf,Frequently Asked Questions – Credit Guarantee Scheme for Startups,Frequently Asked Questions – Credit Guarantee Scheme for Startups,www.ncgtc.in,NCGTC,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,GUIDELINE,dpiit_candidate_5763daa91a3e505f4e87,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.96,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;GUIDANCE_OR_DOCUMENT_EVIDENCE,0,
dpiit_candidate_277eada80d2b71f5d4e6,DPIIT-SRC-019,https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition,https://www.nsws.gov.in/portal/scheme/dpiit-startup-recognition,Apply for DPIIT Startup Recognition,Apply for DPIIT Startup Recognition,www.nsws.gov.in,National Single Window System,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,SCHEME_MASTER,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.93,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PERMANENT_SCHEME_OR_SERVICE_IDENTITY,0,
dpiit_candidate_9da8045f63603db56c15,DPIIT-SRC-004,https://www.startupindia.gov.in/,https://www.startupindia.gov.in/,Startup India,Startup India,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,SOURCE_DIRECTORY,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.91,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;OFFICIAL_DIRECTORY_EVIDENCE,0,
dpiit_candidate_5bf7a3ca8f670e2bef62,DPIIT-SRC-015,https://www.startupindia.gov.in/bhaskar/about,https://www.startupindia.gov.in/bhaskar/about,BHASKAR – Bharat Startup Knowledge Access Registry,BHASKAR – Bharat Startup Knowledge Access Registry,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,ECOSYSTEM_PLATFORM,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.92,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;NAMED_ECOSYSTEM_PLATFORM,0,
dpiit_candidate_cd89343d3e887b253829,DPIIT-SRC-013,https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/National%20Startup%20Awards%202023_Guidelines.pdf,https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/National%20Startup%20Awards%202023_Guidelines.pdf,National Startup Awards 2023 Guidelines,National Startup Awards 2023 Guidelines,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,GUIDELINE,dpiit_candidate_d30889c9e8aba3a9d800,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.96,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;GUIDANCE_OR_DOCUMENT_EVIDENCE,0,
dpiit_candidate_ec3486a7fcbcb33c0ea0,DPIIT-SRC-009,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,Startup India Fund of Funds 2.0 Scheme,Startup India Fund of Funds 2.0 Scheme,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,GUIDELINE,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.96,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;GUIDANCE_OR_DOCUMENT_EVIDENCE;SUPPORTING_PAGE_WITHOUT_PARENT,1,
dpiit_candidate_99c433408283d26eddd7,DPIIT-SRC-006,https://www.startupindia.gov.in/content/sih/en/ams-application/application-listing.html,https://www.startupindia.gov.in/content/sih/en/ams-application/application-listing.html,Startup India Programs,Startup India Programs,www.startupindia.gov.in,Startup India,,NEEDS_VERIFICATION,OWNERSHIP_UNRESOLVED,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.99,STARTUP_INDIA_HOST_IS_NOT_OWNERSHIP_PROOF;OWNERSHIP_NOT_PROVEN;OWNERSHIP_UNRESOLVED,1,
dpiit_candidate_a2f1601863f60d1a6e76,DPIIT-SRC-005,https://www.startupindia.gov.in/content/sih/en/archive-notice.html,https://www.startupindia.gov.in/content/sih/en/archive-notice.html,Archived Page,Archived Page,www.startupindia.gov.in,Startup India,,NEEDS_VERIFICATION,ARCHIVED_PAGE,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.96,STARTUP_INDIA_HOST_IS_NOT_OWNERSHIP_PROOF;ARCHIVE_EVIDENCE;OWNERSHIP_UNRESOLVED;TEMPORARY_OR_HISTORICAL_IDENTITY,1,
dpiit_candidate_4249da56cfe21ea4d7f2,DPIIT-SRC-014,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,Bharat Startup Grand Challenge,Bharat Startup Grand Challenge,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,UMBRELLA_PROGRAMME,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.93,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PERMANENT_PROGRAMME_IDENTITY,0,
dpiit_candidate_65cc8a374e4abde49544,DPIIT-SRC-014,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge/gaming-for-good.html,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge/gaming-for-good.html,Gaming for Good – Bharat Startup Grand Challenge,Gaming for Good – Bharat Startup Grand Challenge,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,CHALLENGE_INSTANCE,dpiit_candidate_4249da56cfe21ea4d7f2,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.95,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;INDIVIDUAL_CHALLENGE_EVIDENCE;TEMPORARY_OR_HISTORICAL_IDENTITY,1,
dpiit_candidate_07891cd6dc1455f980ce,DPIIT-SRC-006,https://www.startupindia.gov.in/content/sih/en/contact-us.html,https://www.startupindia.gov.in/content/sih/en/contact-us.html,Contact Us,Contact Us,www.startupindia.gov.in,Startup India,,NEEDS_VERIFICATION,NON_SCHEME,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.97,STARTUP_INDIA_HOST_IS_NOT_OWNERSHIP_PROOF;EXPLICIT_NON_SCHEME_PAGE,0,EXPLICIT_NON_SCHEME_PAGE
dpiit_candidate_5763daa91a3e505f4e87,DPIIT-SRC-010,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,Credit Guarantee Scheme for Startups,Credit Guarantee Scheme for Startups,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,SCHEME_MASTER,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.93,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PERMANENT_SCHEME_OR_SERVICE_IDENTITY,0,
dpiit_candidate_922d99e5fcaccfec5f80,DPIIT-SRC-005,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,Government Schemes for Startups,Government Schemes for Startups,www.startupindia.gov.in,Startup India,,NEEDS_VERIFICATION,OWNERSHIP_UNRESOLVED,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.99,STARTUP_INDIA_HOST_IS_NOT_OWNERSHIP_PROOF;OWNERSHIP_NOT_PROVEN;OWNERSHIP_UNRESOLVED,1,
dpiit_candidate_d30889c9e8aba3a9d800,DPIIT-SRC-013,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,National Startup Awards,National Startup Awards,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,UMBRELLA_PROGRAMME,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.93,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PERMANENT_PROGRAMME_IDENTITY,0,
dpiit_candidate_6380ecd7f0cc38ca5df5,DPIIT-SRC-013,https://www.startupindia.gov.in/content/sih/en/nsa2025.html,https://www.startupindia.gov.in/content/sih/en/nsa2025.html,National Startup Awards 5.0,National Startup Awards 5.0,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,AWARD_EDITION,dpiit_candidate_d30889c9e8aba3a9d800,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.99,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;EDITION_SPECIFIC_TITLE;TEMPORARY_OR_HISTORICAL_IDENTITY,1,
dpiit_candidate_9f03f2aa5eec0f36b7f2,DPIIT-SRC-008,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,DPIIT Startup Recognition and Tax Exemption,DPIIT Startup Recognition and Tax Exemption,www.startupindia.gov.in,Startup India,Department for Promotion of Industry and Internal Trade (DPIIT),VERIFIED_DPIIT,SCHEME_MASTER,,GOVERNED_REGISTRY_SEED,PREVIEW_NOT_FETCHED,,1,,2026-07-12,0.93,SPECIFIC_OFFICIAL_OWNERSHIP_EVIDENCE;PERMANENT_SCHEME_OR_SERVICE_IDENTITY;SERVICE_VERSUS_SCHEME_REVIEW,1,
