master_id,scheme_name,source,ministry,department,implementing_agency,record_kind,programme_status,application_status,official_page_url,application_url,objectives_present,eligibility_present,benefits_present,identity_evidence_score,automatic_recommendation,automatic_reason,manual_identity_decision,manual_availability_decision,verified_core_scheme_url,reviewer_notes
b1_45684abc149163279b88,Government Schemes.Html,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/reources/government-schemes.html,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
v332_242b70c53db67a0988ab,ICT Digital Service | Digital Initiatives | MSMEMart,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/DigitalServices,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
1f994994972aa20c7c5d,INSPIRE Scheme,DST,Ministry of Science and Technology,Department of Science and Technology (DST),Department of Science and Technology (DST),SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,COMPONENT_SPECIFIC,https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,https://dst.gov.in/announcement/applications-invited-throughout-year,True,True,False,4,REVIEW_LIKELY_SCHEME,Strong structured scheme-identity evidence.,VERIFIED_SCHEME,STATUS_UNVERIFIED,https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,Scheme identity verified. Applications are component-specific; individual component windows must be verified separately.
v332_3502bb2bbb8ab6f0f10c,Income Tax Exemption Notifications,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/startupgov/imb.html,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
b1_08b10de5b708d93fcf97,Incubationsupport.Html,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,INCUBATION_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/compendium_of_good_practices/incubationsupport.html,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
b1_209a3fd28aa689da5250,Incubator Framework.Html,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,INCUBATION_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/incubator-framework.html,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
v332_403d76556f9dbd7968ef,Incubator Schemes,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,INCUBATION_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/incubator-schemes.html,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,DIRECTORY_INDEX,NOT_APPLICABLE,,Incubator Schemes directory; individual programmes must be resolved separately.
v332_d7187e5adb221d198743,International,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/startup-scheme/international.html,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
v332_8bb8621f379572d79719,International Bridges,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/international.html,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
v332_661e14b665bc9092a5de,International Cooperation Activities,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/InternationalCooperationActivities,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
b1_196ff6953f2be52364bb,International.Html,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/startup-scheme/international.html,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
v332_84a1fd4fb1a8d4689723,MSME SAARTHI (NBPA Scheme),National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,FUND,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/MSMESaarthi,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_7bbfdddd6c0652af826b,Machines & Equipments Selling Scheme through Aggregation Services,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/MEScheme,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_f28609ca6a7512ac5b67,Marketing Facilitation Scheme (MFS),National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/MarketingFacilitation,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_1f978aff9c9e9ea43445,Marketing Intelligence,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/MarketingIntelligence,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
23290a8aab541138ab07,Mega Facilities for Basic Research Scheme,DST,Ministry of Science and Technology,Science & Technology,,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,,https://dst.gov.in/mega-facilities-basic-research-scheme,https://dst.gov.in/announcement/applications-invited-throughout-year,False,False,True,3,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_a211bfbd67f817508ac3,NSIC Space Available ON HIRE | Event Management | Exhibitions,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/OpenSpaces,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_ee3220294a6dbcb633c0,National Scheduled Caste and Scheduled Tribe Hub | NSSH| National SC ST Hub,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/NSSH,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_bae4b61912e6b147887c,National Startup Awards Landing,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
b1_c68de1dfbe2d439f7fca,New Schemes.Aspx,MSME Champions Portal,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",MSME Champions,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://champions.gov.in/MyMsme/grievance/New_Schemes.aspx,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,DIRECTORY_INDEX,NOT_APPLICABLE,,New Schemes listing page; not an individual scheme.
v332_c532a2e19c687fa77d50,PUBLIC PROCUREMENT,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,PROCUREMENT_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,CLOSED_OR_HISTORICAL,https://www.startupindia.gov.in/content/sih/en/public_procurement.html,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_807f5e6f513019646e5c,Participation of MSMEs in Exhibitions,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/ParticipationMSMEExhibitions,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_ba8fd381f036d95ad89b,RMA against Bank Guarantee | MSME Financing,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,CREDIT_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,CLOSED_OR_HISTORICAL,https://www.nsic.co.in/Schemes/RawMaterialAgainstBG,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
b1_50944843fefe9713d44f,Schemes For Starters.Aspx,MSME Champions Portal,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",MSME Champions,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://champions.gov.in/MyMsme/grievance/Schemes_for_starters.aspx,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,DIRECTORY_INDEX,NOT_APPLICABLE,,Schemes for Starters listing page; not an individual scheme.
b1_bcfa2541b23572c907ee,Schemes.Aspx,Office of Development Commissioner MSME - Schemes,"Ministry of Micro, Small and Medium Enterprises",Office of Development Commissioner (MSME),DC MSME,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://dcmsme.gov.in/schemes.aspx,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,DIRECTORY_INDEX,NOT_APPLICABLE,,DC-MSME schemes directory; individual scheme pages must be resolved separately.
b1_b1347dfef953b2f37cb9,Search.Html,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,INCUBATION_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/search.html?roles=Incubator,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
b1_3384419c8227bfb23274,Seedfundingsupport.Html,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,FUND,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/compendium_of_good_practices/seedfundingsupport.html,,False,False,False,2,EVIDENCE_ONLY,Matched the semantic noise audit.,EVIDENCE_ONLY,NOT_APPLICABLE,,"Automatically classified as supporting evidence, directory, report, manual or generic information page."
v332_f47c45174829b4e6d5b8,Self Certification,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/startupgov/self-certification.html,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_df4bf7d879fd96322411,Startup India MyBharat,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/startupindia-mybharat.html,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
v332_783a531ec28b3e1a662f,Startup India Scheme,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.startupindia.gov.in/content/sih/en/startup-scheme.html,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
4dffaf1021d344e091ab,Startup India Seed Fund Scheme (SISFS),Startup India,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India / DPIIT,SCHEME_OR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,CLOSED,https://seedfund.startupindia.gov.in/,,True,True,False,4,REVIEW_LIKELY_SCHEME,Strong structured scheme-identity evidence.,VERIFIED_SCHEME,CLOSED,https://seedfund.startupindia.gov.in/,Scheme identity verified. Current catalogue evidence records the application status as closed.
v332_8b59fbc346f76302270e,e-Marketing Services through MSME Global Mart | Digital Initiatives | MSMEMart,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises",National Small Industries Corporation,NSIC,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,https://www.nsic.co.in/Schemes/Infomadiary,,False,False,False,2,NEEDS_CORE_PAGE,Insufficient structured identity evidence.,NEEDS_CORE_PAGE,STATUS_UNVERIFIED,,
