row_number,master_id,name,record_role,startup_relevance,relevance_score,sector,sector_confidence,sector_review_required,governance_decision,duplicate_of
30,b1_a65fb32d75c063a5384e,Academia Incubator Engagement.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
31,b1_8d0f2938b633c1dc084b,Accelerator Market Fit .Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
32,b1_895c09f897c6eb7dd823,Handbook For Incubator Managers.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
33,b1_13f2c2ba7089a3e1ae19,Incubation For Social Startups.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,30,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
34,b1_8cf69084dd306d82140c,Mixed Use Incubator Handbook By Infodev Pdf.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
35,b1_cf919fd1b183819cf241,Role Of State In Creating Startup Ecosystem.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,30,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
36,b1_21ec035db49abef98147,Startup Engagement Best Practices For Large Organizations.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,30,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
37,b1_0f9270d0847037fbd869,The Infodev Global Network Of Business Incubators Pdf.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
38,b1_d852480510ba0784e1a3,About,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
39,b1_5dd511a56aef2112d810,Accessibility Statement,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
40,b1_11e7f6babf01c3322193,Contact,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
41,b1_41b6883d6e45a124cef0,Dashboard,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
42,b1_af32ad0ff653124f1bbf,Disclaimer,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
43,b1_b336bc32c6e109627504,Screen Reader,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
44,b1_dc5a5d1eaf20c4ef8b40,Terms Conditions,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
45,b1_5284ddb8bed0e1c804eb,Sitemap 0.Xml,NAVIGATION_OR_UTILITY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
46,b1_943badd8cef6657d1888,Guidlines.07.8.19.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
47,b1_69232c208f5bb32c3488,Lean Operational Guidlelines.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
48,b1_d0128807de2b4e6b6cd4,Existing Schemes.Aspx,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
49,b1_c68de1dfbe2d439f7fca,New Schemes.Aspx,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
50,b1_50944843fefe9713d44f,Schemes For Starters.Aspx,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
51,b1_90e24e7755c18e3ca035,View Challenge.Aspx,CALL_INSTANCE,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,PUBLISH_CALL_SEPARATELY,
52,b1_00566b846b725d74843b,Register Challenge.Aspx,CALL_INSTANCE,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,PUBLISH_CALL_SEPARATELY,
53,b1_fe9f861d90c8511c141b,Certificate In Lieu Para 26(6) Of The Epf Scheme.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
54,b1_d4428310bd2fdaa69c90,Taiwan Startup Supporting Programs 14022024.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
55,b1_db59689b15ec4ceaf2fd,Moratorium Scheme With Annexurea.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
56,b1_7350dc02e1d8de3ac249,Nsic Letter Related To Sri Fund 24.09.2020.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
57,b1_791ed1099af28b7d552e,Nabl Accreditation Certificate Scope 17062025.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
58,b1_591b7f5ab42465a146be,Entrepreneurship Development Programme 04072024.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
59,b1_5c500549529729e45aba,Nsic Incubator Training Calendar 2005 26 260925.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
60,b1_fe2dcb64a23e9d30aabf,Scheme Nsic Tic Under Ppp Mode 2023 06032023.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
61,b1_71614b34c85c7cb9f1e3,Ic Scheme Of Ministry Of Msme 19Aug2021.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
62,b1_3cb218ef1213aff8cf95,Machineequipmentscheme Latest.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
63,b1_038ea6d0def3b2532f6c,Annexure1.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
64,b1_ad10f80ff8c36d80f976,Annexure2.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
65,b1_57ef46c0e0c6216d785e,Msmesaarthidetails.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
66,b1_5f85b57acecaa8c16534,Mfs Scheme 08012025.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
67,b1_4ed1f6156ad3a72f5252,Itincubatorform.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
68,b1_1cfc6c4be071558146fe,Funding.Html,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
69,b1_a7625d0e584294471e4e,Credit Guarantee Scheme For Startup.Pdf,SUPPORTING_DOCUMENT,POSSIBLY_RELEVANT,40,Cross-sector MSME & Startup Finance,0.99,False,QUARANTINE,
70,b1_f63fd47a7794ded0ed55,Innovation Challenge.Html,CALL_INSTANCE,NOT_STARTUP_RELEVANT,10,Cross-sector Innovation & Entrepreneurship,0.86,False,PUBLISH_CALL_SEPARATELY,
71,b1_6d500af766c0d054d578,2018 Nasscom Startup Ecosystem Indian Start Up Ecosystem 2018 Report.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
72,b1_07a0e56d5f439745381b,2018 Nasscom Startup Ecosystem Product Opportunities Driving Usd 10 Trillion Economy.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
73,b1_98ad2d84b2c9de2ba458,2018 Pwc Ai Advance Artificial Intelligence For Growth.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Artificial Intelligence & Data,0.99,False,QUARANTINE,
74,b1_df7160df7daf98c14ac4,2018 Pwc Ai Artificial Intelligence In India Hype Or Reality.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Artificial Intelligence & Data,0.99,False,QUARANTINE,
75,b1_6e0475f95ce1b758730c,2018 Pwc Ai Autonomous Intelligence In Customer Experience.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
76,b1_9f34483f5b2f6ad2ce04,2018 Pwc Blockchain Automating Trust In Citizen Services.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
77,b1_239162d88eb3d7ec27d1,2018 Pwc Blockchain The Next Innovation To Make Our Cities Smarter.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
78,b1_056f9fed96d483aa66ab,2018 Pwc Data At A Privacy Crossroads.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
79,b1_2a45e55f36f66086b899,2018 Pwc Data Creating Cyber Secure Smart Cities.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
80,b1_f2ed8d510f544f78390a,2018 Pwc Data Overview Of The Changing Data Privacy Landscape In India.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
81,b1_e60fbd09d9366019850a,2018 Pwc Finance Asset Reconstruction Companies In India.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
82,b1_0e09615a323c2711b8c9,2018 Pwc Finance Atm Industry Changing Landscape And Emerging Trends.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
83,b1_1a39675b9225924c9bbe,2018 Pwc Finance Building The Nbfc Of The Future.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
84,b1_77f059965c70cd6f80d8,2018 Pwc Finance Corporate Treasury Vol 1.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
85,b1_f37c875470ecaf68bdff,2018 Pwc Finance Corporate Treasury Vol 2.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
86,b1_5683f721dc381393e754,2018 Pwc Finance Currency Chests A Lifeline To The Indian Economy.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
87,b1_645b7f9ea37cd940ee24,2018 Pwc Finance Demystifying Credit Assessment In Banks.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
88,b1_f12d18c65ba0fbfc8494,2018 Pwc Healthcare Ayurveda On The Cusp Of Change.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Healthcare & MedTech,0.99,False,QUARANTINE,
89,b1_39d2bb54bb126214f105,2018 Pwc Healthcare Ayushman Bharat National Health Protection Mission.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Healthcare & MedTech,0.99,False,QUARANTINE,
90,b1_7c2adf8af5baf1265ef3,2018 Pwc Pe & Vc Pe Deals In India.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
91,b1_2dfe4a1f091391c3a95b,2018 Pwc Regulation & Taxation A New Dimension To Three Lines Of Defence.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
92,b1_4c16993273ac692ed4d1,2018 Pwc Regulation & Taxation Deriving An Upper Edge Through Risk And Finance Alignment.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
93,b1_15d108bf123ebe17fa17,India Fintech Report 2020 (1).Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Financial Services & FinTech,0.99,False,QUARANTINE,
94,b1_ded28e691870083b035c,Nasscom Zinnov India Startup Landscape Report 2019.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
95,b1_46d7f31efb64ec4d3705,Nationalstrategy For Ai Discussion Paper Nitiayogpaper.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
96,b1_f4969a21b4befb9f9a17,Ssrn Id3474809.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
97,b1_1524c2c75fff69550fb4,The Next Wave Unicorns Of Today Giants Of Tomorrow 2019.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
98,b1_30f17452c76e4d06baad,The Deals Dynamics A Pe Vc Impact Report Bdo India.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
99,b1_34da38c08eb157737a75,Tie Delhi Ncr Startup Report.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
100,b1_f00c9cff3ac839c3a2d3,Ey Ecommerce And Consumer Internet Sector India Trendbook 2019.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
101,b1_b8d2306dac1e9112725f,Framework For Startups.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,20,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
102,b1_209a3fd28aa689da5250,Incubator Framework.Html,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
103,b1_076735d98e8f17daf4d7,Eodb Grand Challenge Details V6.Pdf,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,PUBLISH_CALL_SEPARATELY,
104,v332_dfc70b4c83d3fc4c5168,Assistance to Wholesalers and Retail Traders (AWRT) | MSME Financing,SUPPORT_SCHEME_OR_SERVICE,NOT_STARTUP_RELEVANT,20,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
105,v332_dd98750be65f7a697d47,Bill Discounting Scheme | MSME Financing,SUPPORT_SCHEME_OR_SERVICE,NOT_STARTUP_RELEVANT,30,Cross-sector MSME & Startup Finance,0.99,False,QUARANTINE,
106,v332_05ad0ef4cf5b16853015,Credit Facilitation Through Bank | MSME Assistance,SUPPORT_SCHEME_OR_SERVICE,NOT_STARTUP_RELEVANT,30,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
107,v332_242b70c53db67a0988ab,ICT Digital Service | Digital Initiatives | MSMEMart,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,20,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
108,v332_efe104e15db214a36b4d,Exhibition Complex & Event Management Cell,FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
109,v332_8b59fbc346f76302270e,e-Marketing Services through MSME Global Mart | Digital Initiatives | MSMEMart,SUPPORT_SCHEME_OR_SERVICE,NOT_STARTUP_RELEVANT,20,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
110,v332_661e14b665bc9092a5de,International Cooperation Activities,SUPPORT_SCHEME_OR_SERVICE,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
111,v332_7bbfdddd6c0652af826b,Machines & Equipments Selling Scheme through Aggregation Services,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
112,v332_84a1fd4fb1a8d4689723,MSME SAARTHI (NBPA Scheme),SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,20,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
113,v332_f28609ca6a7512ac5b67,Marketing Facilitation Scheme (MFS),SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
114,v332_1f978aff9c9e9ea43445,Marketing Intelligence,SUPPORT_SCHEME_OR_SERVICE,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
115,v332_ee3220294a6dbcb633c0,National Scheduled Caste and Scheduled Tribe Hub | NSSH| National SC ST Hub,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
116,v332_a211bfbd67f817508ac3,NSIC Space Available ON HIRE | Event Management | Exhibitions,FACILITY_OR_DIRECTORY,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
117,v332_807f5e6f513019646e5c,Participation of MSMEs in Exhibitions,SUPPORT_SCHEME_OR_SERVICE,NOT_STARTUP_RELEVANT,20,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
118,v332_ba8fd381f036d95ad89b,RMA against Bank Guarantee | MSME Financing,MANUAL_ROLE_REVIEW,POSSIBLY_RELEVANT,40,Cross-sector MSME & Startup Finance,0.88,False,QUARANTINE,
119,v332_6d45698f7dedb40def0d,Single Point Registration Scheme | GP Certificate | SPRS,SUPPORTING_DOCUMENT,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
120,v332_262749620413e0d15205,Bharat Startup Grand Challenge | Startup India,CALL_INSTANCE,POSSIBLY_RELEVANT,45,Cross-sector Innovation & Entrepreneurship,0.86,False,PUBLISH_CALL_SEPARATELY,
121,v332_180c521a5c6abfd298fd,Credit Guarantee Scheme for Startups,SCHEME_OR_PROGRAMME,STARTUP_OR_MSME_RELEVANT,65,Cross-sector MSME & Startup Finance,0.99,False,PUBLISH_SCHEME,
122,v332_403d76556f9dbd7968ef,Incubator Schemes,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,10,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
