source_id,source_owner,official_url,authoritative_role,permitted_domain,monitoring_frequency,crawl_scope,pagination_rule,rate_limit_seconds,canonical_rule,ownership_rule,exclusion_rule
bipp,BIRAC,https://birac.nic.in/desc_new.php?id=216,PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
birac_calls,BIRAC,https://birac.nic.in/cfp.php,CALL_DIRECTORY,birac.nic.in,WEEKLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
birac_home,BIRAC,https://birac.nic.in/,ORGANISATION_HOME,birac.nic.in,WEEKLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
dbt_call_archive,DBT,https://dbtindia.gov.in/whats-new/call-for-proposals/archive,HISTORICAL_ARCHIVE,dbtindia.gov.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
dbt_calls,DBT,https://dbtindia.gov.in/whats-new/call-for-proposals,CALL_DIRECTORY,dbtindia.gov.in,WEEKLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
dbt_pg,DBT,https://pgt.dbtindia.gov.in/,PROGRAMME,pgt.dbtindia.gov.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
eyuva,BIRAC,https://birac.nic.in/e_yuva.php,PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
eyuva_centres_2023,BIRAC,https://birac.nic.in/cfp_view.php?id=82&scheme_type=31,HISTORICAL_CALL,birac.nic.in,QUARTERLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
gci_2026,BIRAC,https://birac.nic.in/cfp_view.php?id=118&scheme_type=6,CHALLENGE,birac.nic.in,WEEKLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
i4,BIRAC,https://birac.nic.in/birac_i4.php,UMBRELLA_PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
leap,BIRAC,https://birac.nic.in/leapFund.php,PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
nghm_2025,BIRAC,https://birac.nic.in/cfp_view.php?id=116&scheme_type=52,APPLICATION_CALL,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
pace,BIRAC,https://birac.nic.in/desc_new.php?id=286,PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
pace_guide,BIRAC,https://birac.nic.in/webcontent/1745298188_PACE_scheme_guidelines_16_04_2025.pdf,SUPPORTING_DOCUMENT,birac.nic.in,QUARTERLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
pcp_2026,BIRAC,https://birac.nic.in/cfp_view.php?id=117&scheme_type=29,APPLICATION_CALL,birac.nic.in,WEEKLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
sbiri,BIRAC,https://birac.nic.in/desc_new.php?id=217,PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
seed,BIRAC,https://birac.nic.in/seedFundNew.php,PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
sparsh,BIRAC,https://birac.nic.in/desc_new.php?id=58,PROGRAMME,birac.nic.in,MONTHLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
sparsh_centres_2023,BIRAC,https://birac.nic.in/cfp_view.php?id=84&scheme_type=4,HISTORICAL_CALL,birac.nic.in,QUARTERLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
sparsh_guide,BIRAC,https://birac.nic.in/webcontent/Sparsh_Guidelines_Ver_3.pdf,SUPPORTING_DOCUMENT,birac.nic.in,QUARTERLY,REGISTERED_SEED_AND_BOUNDED_OFFICIAL_LINKS,NO_AUTOINCREMENT_MAX_DEPTH_1,0.50,HTTPS_LOWERCASE_HOST_DROP_TRACKING_AND_FRAGMENT,REQUIRE_RECORD_LEVEL_DBT_OR_BIRAC_EVIDENCE,DIRECTORY_OR_DOCUMENT_IS_NOT_A_CATALOGUE_IDENTITY
